,address,language,source,pages,date,publisher,booktitle,title,author,ENTRYTYPE,idCode,unmatched-pages,volume,journal,number,organization,medium,unmatched-author,editor,director,producer,type,note,unmatched-booktitle,url,unmatched-volume,more-authors,unknown,institution,unmatched-journal
83,"C., USA",,May,249,2016-12,IEEE,"IEEE GLOBECOM 2016 Workshop on Wireless Networking, Control and Posi- tioning of Unmanned Autonomous Vehicles (Wi-UAV). Washington D",Mobile: Leveraging mobility control knowledge for eﬃcient routing in mobile robotic networks”,"B. Sliwa, D. Behnke, C. Ide and T, C. Wietfeld. “B. A.",incollection,b2016b,,,,,,,,,,,,,,,,,,,
84,,,May,17–248,2018,,Proceedings of the 87th Vehicular Technology Conference: VTC2018-Spring. IEEE,Eﬃcient machine-type communication using multi-metric context-awareness for cars used as mobile sensors in upcoming 5G networks,"Sliwa, B. and Liebig, T. and Falkenberg, R. and Pillmann, J. and Wietfeld, C.",inproceedings,sliwa2018a,,,,,,,,,,,,,,,,,,,
85,"Torino, Italy",,May,141–251,2017-11,,IEEE Vehicular Networking Conference (VNC),Lightweight joint simulation of vehicular mobility and communica- tion with LIMoSim,"Sliwa, B. and Pillmann, J. and Eckermann, F. and Habel, L. and Schreckenberg, M. and Wietfeld, C.",incollection,sliwa2017b,,,,,,,,,,,,,,,,,,,
86,,,May,"""pp. 491–498 (cit."" # ""pp. 245, 318).""",2016-05,Springer,,Traﬃc simulations with empirical data – How to replace missing traﬃc ﬂows?,"Habel, L. and Molina, A. and Zaksek, T. and Kersting, K. and Schreckenberg, M.",book,habel2016a,"pp. 245, 318).",,,,,,,"Traﬃc and Knoop, Granular Flow’15by V.L. and Daamen, W.",,,,,,,,,,,
87,,,May,"""pp. 258–265 (cit."" # ""pp. 21, 247).""",2017,,,Dynamic Route Planning with Real-Time Traﬃc Predictions,"Liebig, T. and Piatkowski, N. and Bockermann, C. and Morik, K.",article,liebig2017a,"pp. 21, 247).",64,In: Information Systems,,,,,,,,,,,,,,,,
88,,,May,246–250,2018-08,,"2018 IEEE 88th IEEE Vehicular Technology Conference (VTC-Fall). Chicago, USA",Performance comparison of dynamic vehicle routing methods for minimizing the global dwell time in upcoming smart cities,"Vranken, T. and Sliwa, B. and Wietfeld, C. and Schreckenberg, M.",incollection,vranken2018a,,,,,,,,,,,,,,,,,,,
89,,,May,"""1–21:"" # ""pp."" # ""276).""",2017-08-21,,"17th International Workshop on Algorithms in Bioinformatics, WABI",Analysis of Min-Hashing for Variant Tol- erant DNA Read Mapping,"Quedenfeld, J. and Rahmann, S.",article,quedenfeld2017a,pp. 276).,88,Informatik,,,,,"Boston, M.A. and Schwartz, USAby R. and Reinert, K.",,,,13 (cit. on,,,"21: 272,",,,,
90,,,May,"""p. 21"" # ""p. 273).""",2017,,,“A hybrid parameter estimation algorithm for beta mixtures and applications to methylation state classiﬁcation”. In: Algorithms for Molecular Biology 12,"Schröder, C. and Rahmann, S.",misc,schroeder2017a,p. 273).,,,,,,,,,,,cit. on,,,,,,,
91,,,May,"""pp. 872–877 (cit."" # ""pp. 19, 271–275, 321).""",2015-08,,,Mutational dynamics between primary and relapse neuroblastomas,"Schramm, A. and Köster, J. and Assenov, Y. and Althoﬀ, K. and Peifer, M. and Mahlow, E. and Odersky, A. and Beisser, D. and Ernst, C.",article,schramm2015a,"pp. 19, 271–275, 321).",47,In: Nature Genetics,8,,,,,,,,,,,,true,,,
92,,,May,"""pp. 263–268 (cit."" # ""p. 272).""",2018-05,,,"“Cancer evolution, mutations, and clonal selection in relapse neuroblastoma”. In: Cell Tissue Re- search 372.2","Schulte, M. and Köster, J. and Rahmann, S. and Schramm, A.",misc,schulte2018a,p. 272).,,,,,,,,,,,,,,,,,,
93,,,May,275,2015,,,Sensitivity to cdk1-inhibition is mod- ulated by p53 status in preclinical models of embryonal tumors,"Schwermer, M. and Lee, S. and Köster, J. and van Maerken, T. and Stephan, H. and Eggert, A. and Morik, K. and Schulte, J.H. and Schramm, A.",incollection,schwermer2015a,,,,,,,,,,,,,,,,,,,
94,,,May,80–275,2017,Springer,"Joint European Conference on Machine Learning and Knowledge Discovery in Databases, ECML PKDD 2017",C-SALT: Mining Class-Speciﬁc ALTerations in Boolean Matrix Factorization,"Hess, S. and Morik, K.",incollection,hess2017b,,,,,,,,,,,,,,,,,,,
95,,,May,"""pp. 1090–1131 (cit."" # ""pp. 68,"" # ""287).""",2017-07,,,“The PRIMPING routine—Tiling through proximal alternating linearized minimization”. In: Data Mining and Knowl- edge Discovery 31.4,"Hess, S. and Morik, K. and Piatkowski, N.",misc,hess2017c,"pp. 68, 287).",71,,80,,,,,,,,,,,,,,,
96,"Mission Valley, San Diego, CA",,May,"""pp. 405–413 (cit."" # ""pp. 71, 80, 274, 287).""",2018-05-03,,"Proceedings of the 2018 SIAM International Conference on Data Mining, SDM",The Trustworthy Pal: Controlling the False Discovery Rate in Boolean Matrix Factorization,"Hess, S. and Piatkowski, N. and Morik, K.",inproceedings,hess2018b,"pp. 71, 80, 274, 287).",,,,USA. SIAM,on,,,,,,,,,,,,,
97,,,May,"""pp. 780– 789"" # ""p. 274).""",2016,,Proceed- ings of the 19th International Conference on Artiﬁcial Intelligence and Statistics,Fast Saddle-Point Algorithm for General- ized Dantzig Selector and FDR Control with the Ordered l1-Norm,"Lee, S. and Brzyski, D. and Bogdan, M.",incollection,lee2016a,p. 274).,,,,,,,"Gretton, AISTATSby A. and W&CP, C.C.Robert J.M.L.R.",,,,cit. on,,,,,,,
98,In,,May,"""pp. 1–14 (cit."" # ""pp.""",2017,Sensors 17.2,,Application of the PAMONO-sensor for Quantiﬁcation of Microvesicles and Determination of Nano- particle Size Distribution,"Shpacovitch, V. and Sidorenko, I. and Lenssen, J.E. and Temchura, V. and Weichert, F. and Müller, H. and Überla, K. and Zybin, A. and Schramm, A.",book,shpacovitch2017b,pp.,,,,,,,,,,,,,,,true,,,
99,,,May,21–297,2015,Springer Berlin Heidelberg,"European Conference on Machine Learning (ECML PKDD 2015), Industrial Track",Online Analysis of High-Volume Data Streams in Astroparticle Physics,"Bockermann, C. and Brügge, K. and Buß, J. and Egorov, A. and Morik, K. and Rhode, W. and Ruhe, T.",incollection,bockermann2015a,,,,,,,,,,,,,,,,,,,
100,,,May,"""p. 116"" # ""p. 296).""",2015-03,,,Development of a general analysis and unfolding scheme and its application to measure the energy spectrum of atmospheric neutrinos with IceCube,,article,f2015a,p. 296).,,In: European Physical Journal C 75,,,,,,,,,cit. on,,,,true,,,
101,,,May,296,2015,Springer Berlin Heidelberg,European Conference on Machine Learning (ECML PKDD,Discovering Neutrinos through Data Analytics,"Börner, M. and Rhode, W. and Ruhe, T. and Morik, K.",incollection,boerner2015a,,,,,,,,,,,,cit. on,,,,,,,
102,,,May,"""#692"" # ""p. 296).""",2017-10,,,“Measurement of the νµ energy spectrum with IceCube-79”. In,,article,m2017a,p. 296).,77,European Physical Journal C,,,,,,,,,cit. on,,,,true,,,
103,,,May,"""pp. 209–222 (cit."" # ""pp."" # ""303).""",2018-01-19,,IEEE Transactions on Circuits and Systems I: Regular Papers 65-I.1,Decision Tree and Random Forest Implemen- tations for Fast Filtering of Sensor Data,"Buschjäger, S. and Morik, K.",incollection,buschjaeger2018b,pp. 303).,69,,75,,,,,,,,,,,,,,,
104,,,May,295,2015,,,Mining Big Data Streams for Multiple Concepts,"Bockermann, C.",incollection,bockermann2015b,,,,,,,,,,,,,,,,,,,
105,Dortmund,,May,299,2016-06,,,"Data Reduction for CORSIKA. Tech. rep. 2. E5b, Faculty Physic, TU","Baack, D.",misc,baack2016a,,,,,,,,,,,,,,,,,,,
106,,,May,295,,,,“Dis- tributed Real-Time Data Stream Analysis for CTA”. In: Astronomical Data Anal- ysis Software and Systems,"Brügge, K. and Egorov, A. and Bockermann, C. and Morik, K. and Rhode, W.",misc,bruegge-a,,,,,,,,,,,,ADASS XXVII). 2017 (cit. on,,,,,,,
107,,,May,296–297,2017,,International Cosmic Ray Conference (ICRC,Deep Learning in Physics Exempliﬁed by the Reconstruction of Muon-Neutrino Events in IceCube,"Hünnefeld, M.",incollection,huennefeld2017a,,,,,,,,,,,,,,,,,,,
108,,,May,298,2016,,Astronomical Data Analysis Software and Systems (ADASS XXVI),Mining for Spectra – The Dortmund Spectrum Estimation Algorithm,"Ruhe, T. and Börner, M. and Wornowizki, M. and Voigt, T. and Rhode, W. and Morik, K.",incollection,ruhe2016a,,,,,,,,,,,,cit. on,,,,,,,
109,,,May,316–318,,,Proceedings of the 32nd AAAI Conference on Artiﬁcial Intelligence (AAAI). 2018 (cit. on,Core Dependency Networks,"Molina, A. and Munteanu, A. and Kersting, K.",inproceedings,molina-a,,,,,,,,,,,,,,,,,,,
110,In,,May,"""pp. 37–53 (cit."" # ""pp. 18, 94, 316).""",2018,KI - Künstliche Intelligenz 32.1,,Coresets - Methods and History: A Theoreticians Design Pattern for Approximation and Streaming Algorithms,"Munteanu, A. and Schwiegelshohn, C.",book,munteanu2018b,"pp. 18, 94, 316).",,,,,,,,,,,,,,,,,,
111,,,May,"""pp. 79–101 (cit."" # ""pp. 90, 318,"" # ""329).""",2017,,Statistics and Computing 27.1,Random projections for Bayesian regression,"Geppert, L.N. and Ickstadt, K. and Munteanu, A. and Quedenfeld, J. and Sohler, C.",incollection,geppert2017a,"pp. 90, 318, 329).",319,,,,,,,,,,,,,,,,,
112,,,May,"""pp. 1–"" # ""pp. 285, 287,"" # ""321).""",2017,,Computational and Mathematical Methods in Medicine Vol,Integration of multiple genomic data sources in a Bayesian Cox model for variable selection and prediction,"Treppmann, T. and Ickstadt, K. and Zucknick, M.",incollection,treppmann2017a,"pp. 285, 287, 321).",2017,,,,,,,,,,,,,"316,",,,,
113,,,May,316–319,2016,,,“Untersuchung von Regression auf eingebetteten Datensätzen unter Verwendung von verschiedenen Abstandsnormen und Penalisierungstermen”. Mas- ter Thesis,"Müller, S.",article,mueller2016a,,,TU Dortmund University,,,,,,,,,,,,,,,,
114,,,May,"""pp. 88, 316,"" # ""326).""",,,,On Core- sets for Logistic Regression,"Munteanu, A. and Schwiegelshohn, C. and Sohler, C. and Woodruﬀ, D.P.",misc,munteanu-b,326).,317,,,,,,,,,Tech. rep. arXiv,"1805.08571 [cs. DS], 2018 (cit. on",,,,,,,
115,,,May,316–320,2016,,,“Unimodal spline regression and its use in various applications with single or multiple modes”. Dissertation,"Köllmann, C.",article,koellmann2016a,,,TU Dortmund,,,,,,,,,,,,,,,,
116,,,May,320,,,,Beyond unimodal regression: mod- elling multimodality with piecewise unimodal regression or deconvolution models,"Köllmann, C. and Ickstadt, K. and Fried, R.",misc,koellmann-a,,,,,,,,,,,Tech. rep. arXiv,"1606.01666 [stat. AP], 2016 (cit. on",,,,,,,
117,In,,May,16–343,2017-06,Datenbank- Spektrum,,Eﬃciently Storing and Analyzing Genome Data in Database Systems,"Dorok, S. and Breß, S. and Teubner, J. and Läpple, H. and Saake, G. and Markl, V.",book,dorok2017a,,,,,,,,,,,,,,,,,,,
118,,,May,"""pp. 2537–2548 (cit."" # ""pp. 16, 31, 343).""",2017-09,,,Energy Eﬃciency of a Low Power Hardware Cluster for High Performance Computing,"Görtz, M.D. and Kühn, R. and Zietek, O. and Bernhard, R. and Bulinski, M. and Duman, D. and Freisen, B. and Jentsch, U. and Klöppner, T. and Popovic, D. and Xu, L.",article,goertz2017a,"pp. 16, 31, 343).",,"Gaedke. Gesellschaft für Informatik, Bonn",,,,,"2017by M. Eibl, INFOR- MATIK and M",,,,,,,,,,,
119,,,May,"""p. 031601"" # ""p. 342).""",2015-07-03,,,Measurement of C P Violation in B0 → J/ψK0 S Decays,,article,lhcb2015a,p. 342).,,In: Physical Review Letters,,,,,,,,,cit. on,,,,true,,,
120,,,May,"""p. 261801"" # ""p. 342).""",2016,,,Measurement of CP violation in B0 → D+D− decays,,article,lhcb2016a,p. 342).,,In: Physical Review Letters,,,,,,,,,cit. on,,,,true,,,
121,,,May,"""p. 170"" # ""p. 342).""",2017,,,Measurement of CP violation in B0 → J/ψK0 S and B0 → ψ(2S)K0 S decays,,article,lhcb2017a,p. 342).,11,In: Journal of High Energy Physics,,,,,,,,,cit. on,,,,true,,,
122,,,May,"""pp. 413–422"" # ""p. 341).""",2017-03,BTW,,"“DeLorean: A Storage Layer to Analyze Physical Data at Scale”. In: Datenbanksysteme für Business, Technologie und Web","Kußmann, M. and Berens, M. and Eitschberger, U. and Kilic, A. and Lindemann, T. and Meier, F. and Niet, R. and Schellenberg, M. and Stevens, H. and Wishahi, J. and Spaan, B. and Teubner, J.",article,kussmann2017a,p. 341).,265,et al. (Hrsg.),,,,,"M, B.",,,,cit. on,,,,,,,"LNI. GI,"
123,"San Francisco, CA, USA",,May,339–349,2016-06,ACM,Proceedings of the 2016 ACM SIGMOD Conference on Management of Data,Robust Query Processing in Co-Processor- Accelerated Databases,"Breß, S. and Funke, H. and Teubner, J.",inproceedings,bress2016a,,,,,,,,,,,,,,,,,,,
124,"Paris, France",,May,338–339,2018-04,,Proc. of the Joint HardBD & Active’18 Workshop,Eﬃcient Stream Processing of Scientiﬁc Data,"Lindemann, T. and Kauke, J. and Teubner, J.",incollection,lindemann2018a,,,,,,,,,,,,,,,,,,,
125,,,May,342,2016,,,Measurement of sin 2β using charmonium and open charm decays at LHCb,"Meier, F.",incollection,meier2016a,,,,,,,,,,,,cit. on,,,,,,,
126,,,May,343,2018,,,Eﬃcient Track Reconstruction on Modern Hardware,"Lindemann, T.",techreport,lindemann2018b,,,,,,,,,,,"Tech. rep. 1. DBIS Group, Chair 6",,,,,,,"Department of Computer Science, Mar",
