,dc:title,@_fa,link,prism:url,dc:identifier,eid,dc:creator,prism:publicationName,prism:issn,prism:eIssn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,prism:doi,citedby-count,prism:aggregationType,subtype,subtypeDescription,article-number,source-id,openaccess,openaccessFlag,freetoread,freetoreadLabel,affiliation,pii,prism:isbn,pubmed-id
393,Measuring energy security performance within China: Toward an inter-provincial prospective,true,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85015655779'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85015655779?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85015655779&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85015655779&origin=inward'}, {'@_fa': 'true', '@ref': 'full-text', '@href': 'https://api.elsevier.com/content/article/eid/1-s2.0-S0360544216318357'}]",https://api.elsevier.com/content/abstract/scopus_id/85015655779,SCOPUS_ID:85015655779,2-s2.0-85015655779,Zhang L.,Energy,03605442,,125,,825-836,2017-01-01,2017,10.1016/j.energy.2016.12.030,67,Journal,ar,Article,,29348,0,False,"{'value': [{'$': 'all'}, {'$': 'repository'}, {'$': 'repositoryam'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Green'}]}","[{'@_fa': 'true', 'affilname': 'Aarhus Universitet', 'affiliation-city': 'Aarhus', 'affiliation-country': 'Denmark'}, {'@_fa': 'true', 'affilname': 'China University of Geosciences', 'affiliation-city': 'Wuhan', 'affiliation-country': 'China'}]",S0360544216318357,,
394,"Measuring energy poverty in Japan, 2004–2013",true,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/84989937446'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/84989937446?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84989937446&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84989937446&origin=inward'}, {'@_fa': 'true', '@ref': 'full-text', '@href': 'https://api.elsevier.com/content/article/eid/1-s2.0-S0301421516304724'}]",https://api.elsevier.com/content/abstract/scopus_id/84989937446,SCOPUS_ID:84989937446,2-s2.0-84989937446,Okushima S.,Energy Policy,03014215,,98,,557-564,2016-11-01,1 November 2016,10.1016/j.enpol.2016.09.005,64,Journal,ar,Article,,29403,0,False,"{'value': [{'$': 'all'}, {'$': 'repository'}, {'$': 'repositoryam'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Green'}]}","[{'@_fa': 'true', 'affilname': 'University of Tsukuba', 'affiliation-city': 'Tsukuba', 'affiliation-country': 'Japan'}]",S0301421516304724,,
395,Measuring energy conservation on Nova Scotia (NS) farms: A 2004 to 2011 comparison,true,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/84978209597'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/84978209597?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84978209597&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84978209597&origin=inward'}, {'@_fa': 'true', '@ref': 'full-text', '@href': 'https://api.elsevier.com/content/article/eid/1-s2.0-S0360544216309148'}]",https://api.elsevier.com/content/abstract/scopus_id/84978209597,SCOPUS_ID:84978209597,2-s2.0-84978209597,Bailey J.A.,Energy,03605442,,113,,144-152,2016-10-15,15 October 2016,10.1016/j.energy.2016.06.140,3,Journal,ar,Article,,29348,0,False,,,"[{'@_fa': 'true', 'affilname': 'Nova Scotia Department of Agriculture', 'affiliation-city': None, 'affiliation-country': 'Canada'}]",S0360544216309148,,
396,Measuring energy economic efficiency: A mathematical programming approach,true,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/84978215681'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/84978215681?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84978215681&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84978215681&origin=inward'}, {'@_fa': 'true', '@ref': 'full-text', '@href': 'https://api.elsevier.com/content/article/eid/1-s2.0-S030626191630890X'}]",https://api.elsevier.com/content/abstract/scopus_id/84978215681,SCOPUS_ID:84978215681,2-s2.0-84978215681,Liao H.,Applied Energy,03062619,,179,,479-487,2016-10-01,1 October 2016,10.1016/j.apenergy.2016.06.115,13,Journal,ar,Article,,28801,0,False,,,"[{'@_fa': 'true', 'affilname': 'Beijing Institute of Technology', 'affiliation-city': 'Beijing', 'affiliation-country': 'China'}]",S030626191630890X,,
397,Measuring energy and environmental efficiency of transportation systems in China based on a parallel DEA approach,true,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/84940835760'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/84940835760?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84940835760&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84940835760&origin=inward'}, {'@_fa': 'true', '@ref': 'full-text', '@href': 'https://api.elsevier.com/content/article/eid/1-s2.0-S1361920915001054'}]",https://api.elsevier.com/content/abstract/scopus_id/84940835760,SCOPUS_ID:84940835760,2-s2.0-84940835760,Wu J.,Transportation Research Part D: Transport and Environment,13619209,,48,,460-472,2016-10-01,1 October 2016,10.1016/j.trd.2015.08.001,124,Journal,ar,Article,,20894,0,False,,,"[{'@_fa': 'true', 'affilname': 'University of Science and Technology of China', 'affiliation-city': 'Hefei', 'affiliation-country': 'China'}]",S1361920915001054,,
398,Measuring energy footprint of software features,true,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/84979743407'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/84979743407?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84979743407&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84979743407&origin=inward'}]",https://api.elsevier.com/content/abstract/scopus_id/84979743407,SCOPUS_ID:84979743407,2-s2.0-84979743407,Islam S.,IEEE International Conference on Program Comprehension,,,2016-July,,,2016-07-05,5 July 2016,10.1109/ICPC.2016.7503726,6,Conference Proceeding,cp,Conference Paper,7503726,19400157102,0,False,"{'value': [{'$': 'all'}, {'$': 'repository'}, {'$': 'repositoryam'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Green'}]}","[{'@_fa': 'true', 'affilname': 'University of East London', 'affiliation-city': 'London', 'affiliation-country': 'United Kingdom'}]",,"[{'@_fa': 'true', '$': '9781509014286'}]",
399,Measuring energy poverty in Greece,true,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/84962786647'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/84962786647?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84962786647&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84962786647&origin=inward'}, {'@_fa': 'true', '@ref': 'full-text', '@href': 'https://api.elsevier.com/content/article/eid/1-s2.0-S0301421516301720'}]",https://api.elsevier.com/content/abstract/scopus_id/84962786647,SCOPUS_ID:84962786647,2-s2.0-84962786647,Papada L.,Energy Policy,03014215,,94,,157-165,2016-07-01,"July 01, 2016",10.1016/j.enpol.2016.04.004,109,Journal,ar,Article,,29403,0,False,,,"[{'@_fa': 'true', 'affilname': 'National Technical University of Athens', 'affiliation-city': 'Athens', 'affiliation-country': 'Greece'}]",S0301421516301720,,
400,New generation indirect calorimeters for measuring energy expenditure in the critically ill: A rampant or reticent revolution?,true,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/84971668352'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/84971668352?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84971668352&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84971668352&origin=inward'}]",https://api.elsevier.com/content/abstract/scopus_id/84971668352,SCOPUS_ID:84971668352,2-s2.0-84971668352,De Waele E.,Critical Care,13648535,1466609X,20,1,,2016-06-05,5 June 2016,10.1186/s13054-016-1315-4,8,Journal,no,Note,138,29914,1,True,"{'value': [{'$': 'all'}, {'$': 'publisherfullgold'}, {'$': 'repository'}, {'$': 'repositoryvor'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Gold'}, {'$': 'Green'}]}","[{'@_fa': 'true', 'affilname': 'Universitair Ziekenhuis Brussel', 'affiliation-city': 'Jette', 'affiliation-country': 'Belgium'}]",,,27262591
401,A novel approach for measuring energy expenditure of a single sit-to-stand movement,true,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/84961629679'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/84961629679?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84961629679&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84961629679&origin=inward'}]",https://api.elsevier.com/content/abstract/scopus_id/84961629679,SCOPUS_ID:84961629679,2-s2.0-84961629679,Hatamoto Y.,European Journal of Applied Physiology,14396319,,116,5,997-1004,2016-05-01,1 May 2016,10.1007/s00421-016-3355-5,9,Journal,ar,Article,,23402,0,False,,,"[{'@_fa': 'true', 'affilname': 'Fukuoka University', 'affiliation-city': 'Fukuoka', 'affiliation-country': 'Japan'}]",,,27017496
402,Measuring energy efficiency in data centers,true,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85011791486'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85011791486?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85011791486&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85011791486&origin=inward'}, {'@_fa': 'true', '@ref': 'full-text', '@href': 'https://api.elsevier.com/content/article/eid/3-s2.0-B9780128036631000103'}]",https://api.elsevier.com/content/abstract/scopus_id/85011791486,SCOPUS_ID:85011791486,2-s2.0-85011791486,Chinnici M.,Pervasive Computing: Next Generation Platforms for Intelligent Data Collection,,,,,299-351,2016-04-13,13 April 2016,10.1016/B978-0-12-803663-1.00010-3,15,Book,ch,Book Chapter,,21100794328,0,False,,,"[{'@_fa': 'true', 'affilname': ""Ente Per Le Nuove Tecnologie, l'Energia e l'Ambiente"", 'affiliation-city': 'Rome', 'affiliation-country': 'Italy'}]",B9780128036631.000103,"[{'@_fa': 'true', '$': '9780128037027'}, {'@_fa': 'true', '$': '9780128036631'}]",
403,"Erratum to: 'Measuring energy expenditure in the intensive care unit: A comparison of indirect calorimetry by E-sCOVX and Quark RMR with Deltatrac II in mechanically ventilated critically ill patients' [Critical Care. 20 (2016), 54]",true,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/84963542707'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/84963542707?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84963542707&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84963542707&origin=inward'}]",https://api.elsevier.com/content/abstract/scopus_id/84963542707,SCOPUS_ID:84963542707,2-s2.0-84963542707,Sundström Rehal M.,Critical Care,13648535,1466609X,20,1,,2016-04-13,13 April 2016,10.1186/s13054-016-1289-2,4,Journal,er,Erratum,104,29914,1,True,"{'value': [{'$': 'all'}, {'$': 'publisherfullgold'}, {'$': 'repository'}, {'$': 'repositoryvor'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Gold'}, {'$': 'Green'}]}","[{'@_fa': 'true', 'affilname': 'Karolinska Universitetssjukhuset', 'affiliation-city': 'Stockholm', 'affiliation-country': 'Sweden'}, {'@_fa': 'true', 'affilname': 'Karolinska Institutet', 'affiliation-city': 'Stockholm', 'affiliation-country': 'Sweden'}]",,,
404,Measuring energy expenditure in the intensive care unit: A comparison of indirect calorimetry by E-sCOVX and Quark RMR with Deltatrac II in mechanically ventilated critically ill patients,true,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/84963563101'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/84963563101?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84963563101&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84963563101&origin=inward'}]",https://api.elsevier.com/content/abstract/scopus_id/84963563101,SCOPUS_ID:84963563101,2-s2.0-84963563101,Sundström Rehal M.,Critical Care,13648535,1466609X,20,1,,2016-03-05,5 March 2016,10.1186/s13054-016-1232-6,25,Journal,ar,Article,54,29914,1,True,"{'value': [{'$': 'all'}, {'$': 'publisherfullgold'}, {'$': 'repository'}, {'$': 'repositoryvor'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Gold'}, {'$': 'Green'}]}","[{'@_fa': 'true', 'affilname': 'Karolinska Universitetssjukhuset', 'affiliation-city': 'Stockholm', 'affiliation-country': 'Sweden'}, {'@_fa': 'true', 'affilname': 'Karolinska Institutet', 'affiliation-city': 'Stockholm', 'affiliation-country': 'Sweden'}]",,,26951095
405,Measuring energy expenditure in daily living established methods and new directions,true,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85053946224'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85053946224?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85053946224&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85053946224&origin=inward'}]",https://api.elsevier.com/content/abstract/scopus_id/85053946224,SCOPUS_ID:85053946224,2-s2.0-85053946224,Jenike M.,Research Methods for Anthropological Studies of Food and Nutrition: Food Research: Nutritional Anthropology and Archaeological Methods,,,1,,69-78,2016-01-01,1 January 2016,,0,Book,ch,Book Chapter,,21100878120,0,False,,,"[{'@_fa': 'true', 'affilname': 'Lawrence University', 'affiliation-city': None, 'affiliation-country': 'United States'}]",,"[{'@_fa': 'true', '$': '9781785332883'}, {'@_fa': 'true', '$': '9781785332876'}]",
406,Measuring energy expenditure in daily living: Established methods and new directions,true,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85052486378'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85052486378?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85052486378&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85052486378&origin=inward'}]",https://api.elsevier.com/content/abstract/scopus_id/85052486378,SCOPUS_ID:85052486378,2-s2.0-85052486378,Jenike M.,Food Research: Nutritional Anthropology and Archaeological Methods,,,,,69-78,2016-01-01,1 January 2016,,0,Book,ch,Book Chapter,,21100875148,0,False,,,"[{'@_fa': 'true', 'affilname': 'Lawrence University, Appleton', 'affiliation-city': 'Appleton', 'affiliation-country': 'United States'}]",,"[{'@_fa': 'true', '$': '9781785332883'}, {'@_fa': 'true', '$': '9781785332876'}]",
407,Measuring energy equipartition in globular clusters,true,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85025158934'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85025158934?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85025158934&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85025158934&origin=inward'}]",https://api.elsevier.com/content/abstract/scopus_id/85025158934,SCOPUS_ID:85025158934,2-s2.0-85025158934,Bianchini P.,Memorie della Societa Astronomica Italiana - Journal of the Italian Astronomical Society,1824016X,,87,4,596-599,2016-01-01,2016,,0,Conference Proceeding,cp,Conference Paper,,21100390419,0,False,,,"[{'@_fa': 'true', 'affilname': 'Max Planck Institute for Astronomy', 'affiliation-city': 'Heidelberg', 'affiliation-country': 'Germany'}]",,,
408,Measuring energy consumption efficiency of the construction industry: The case of China,true,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/84942982149'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/84942982149?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84942982149&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84942982149&origin=inward'}, {'@_fa': 'true', '@ref': 'full-text', '@href': 'https://api.elsevier.com/content/article/eid/1-s2.0-S0959652614004454'}]",https://api.elsevier.com/content/abstract/scopus_id/84942982149,SCOPUS_ID:84942982149,2-s2.0-84942982149,Xue X.,Journal of Cleaner Production,09596526,,107,,509-515,2015-11-16,16 November 2015,10.1016/j.jclepro.2014.04.082,68,Journal,ar,Article,,19167,0,False,,,"[{'@_fa': 'true', 'affilname': 'Harbin Institute of Technology', 'affiliation-city': 'Harbin', 'affiliation-country': 'China'}]",S0959652614004454,,
409,Measuring Energy Congestion in Chinese Industrial Sectors: A Slacks-Based DEA Approach,true,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/84941421955'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/84941421955?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84941421955&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84941421955&origin=inward'}]",https://api.elsevier.com/content/abstract/scopus_id/84941421955,SCOPUS_ID:84941421955,2-s2.0-84941421955,Wu F.,Computational Economics,09277099,15729974,46,3,479-494,2015-10-13,13 October 2015,10.1007/s10614-015-9499-2,15,Journal,ar,Article,,19053,0,False,,,"[{'@_fa': 'true', 'affilname': 'Nanjing University of Aeronautics and Astronautics', 'affiliation-city': 'Nanjing', 'affiliation-country': 'China'}]",,,
410,Measuring energy inefficiency with undesirable outputs and technology heterogeneity in Chinese cities,true,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/84927737955'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/84927737955?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84927737955&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84927737955&origin=inward'}, {'@_fa': 'true', '@ref': 'full-text', '@href': 'https://api.elsevier.com/content/article/eid/1-s2.0-S0264999315000838'}]",https://api.elsevier.com/content/abstract/scopus_id/84927737955,SCOPUS_ID:84927737955,2-s2.0-84927737955,Hang Y.,Economic Modelling,02649993,,49,,46-52,2015-09-01,"September 01, 2015",10.1016/j.econmod.2015.04.001,36,Journal,ar,Article,,28467,0,False,,,"[{'@_fa': 'true', 'affilname': 'Soochow University', 'affiliation-city': 'Suzhou', 'affiliation-country': 'China'}]",S0264999315000838,,
411,Measuring energy rebound effect in the Chinese economy: An economic accounting approach,true,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/84929614289'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/84929614289?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84929614289&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84929614289&origin=inward'}, {'@_fa': 'true', '@ref': 'full-text', '@href': 'https://api.elsevier.com/content/article/eid/1-s2.0-S0140988315001371'}]",https://api.elsevier.com/content/abstract/scopus_id/84929614289,SCOPUS_ID:84929614289,2-s2.0-84929614289,Lin B.,Energy Economics,01409883,,50,,96-104,2015-07-01,"July 01, 2015",10.1016/j.eneco.2015.04.014,50,Journal,ar,Article,,29374,0,False,,,"[{'@_fa': 'true', 'affilname': 'Minjiang University', 'affiliation-city': 'Fuzhou', 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'Xiamen University', 'affiliation-city': 'Xiamen', 'affiliation-country': 'China'}]",S0140988315001371,,
412,MEASURING ENERGY PERFORMANCE,true,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/84986573175'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/84986573175?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84986573175&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84986573175&origin=inward'}]",https://api.elsevier.com/content/abstract/scopus_id/84986573175,SCOPUS_ID:84986573175,2-s2.0-84986573175,,Health facilities management,08996210,,28,6,40-41,2015-06-01,1 June 2015,,0,Journal,ar,Article,,13396,0,False,,,,,,27348937
413,Techniques and tools for measuring energy efficiency of scientific software applications,true,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/84937883301'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/84937883301?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84937883301&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84937883301&origin=inward'}]",https://api.elsevier.com/content/abstract/scopus_id/84937883301,SCOPUS_ID:84937883301,2-s2.0-84937883301,Abdurachmanov D.,Journal of Physics: Conference Series,17426588,17426596,608,1,,2015-05-22,22 May 2015,10.1088/1742-6596/608/1/012032,6,Conference Proceeding,cp,Conference Paper,012032,130053,1,True,"{'value': [{'$': 'all'}, {'$': 'publisherfree2read'}, {'$': 'repository'}, {'$': 'repositoryvor'}, {'$': 'repositoryam'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Bronze'}, {'$': 'Green'}]}","[{'@_fa': 'true', 'affilname': 'Vilniaus Universitetas', 'affiliation-city': 'Vilnius', 'affiliation-country': 'Lithuania'}]",,,
414,Measuring energy consumption using EML (energy measurement library),true,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/84940283992'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/84940283992?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84940283992&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84940283992&origin=inward'}]",https://api.elsevier.com/content/abstract/scopus_id/84940283992,SCOPUS_ID:84940283992,2-s2.0-84940283992,Cabrera A.,Computer Science - Research and Development,18652034,18652042,30,2,135-143,2015-04-21,21 April 2015,10.1007/s00450-014-0269-5,14,Journal,ar,Article,,14000156208,0,False,,,"[{'@_fa': 'true', 'affilname': 'Universidad de la Laguna', 'affiliation-city': 'San Cristobal de La Laguna', 'affiliation-country': 'Spain'}]",,,
